cluster,f1_log_scale,f2a_weekend_ratio,f2b_friday_ratio,f4a_log,f4b_vacation_effect,f5_log,mean_total,size
0,2.4039522001887956,1.451157332658985,1.1317125671458825,0.7401375969087318,0.6556609922862964,0.22472183092133743,683.3904126464794,9
1,3.5542217754742373,1.2786118248677747,1.2941306616271935,0.12391991525245853,0.9462068522761339,0.052818670094744856,10108.58113558297,93
2,2.5206204161948875,2.111228560258917,1.225479543519408,0.4265823761100831,1.1894655479459406,-0.0331519133450727,621.7811607561177,18
3,2.0444516323300816,1.6132385552684834,1.0343806455803022,0.7287278703681627,1.6782874531372587,-0.4854633488252085,164.9464344767843,3
4,2.8992478853564725,0.9366453691004895,1.1052232186926993,0.12037244757973678,0.9226146911515899,0.06622387398549803,3426.3494952529836,112
