station,radius_m,timestamp_osm_base,endpoint,shop_all,shop_convenience,food_cafe_restaurant_fastfood,bank_atm,school_university,tourism_all,leisure_all,total_elements
汐科,500,2026-08-27T06:34:42Z,https://overpass-api.de/api/interpreter,48,18,51,7,2,3,14,125
汐科,1000,2026-08-27T06:34:42Z,https://overpass-api.de/api/interpreter,70,28,75,13,6,19,40,223
南港,500,2026-08-27T06:36:43Z,https://overpass-api.de/api/interpreter,33,11,101,5,4,5,21,168
南港,1000,2026-08-27T06:36:43Z,https://overpass-api.de/api/interpreter,77,26,200,28,4,20,58,385
內灣,500,2026-08-27T06:36:43Z,https://overpass-api.de/api/interpreter,5,3,12,0,1,9,5,31
內灣,1000,2026-08-27T06:37:48Z,https://overpass-api.de/api/interpreter,5,3,12,0,1,17,7,41
白沙屯,500,2026-08-27T06:37:48Z,https://overpass-api.de/api/interpreter,0,0,0,1,0,0,2,3
白沙屯,1000,2026-08-27T06:38:50Z,https://overpass-api.de/api/interpreter,7,2,4,1,2,6,7,27
