label,cluster_name,size_band,n_stations,flow_profile,suitable,unsuitable,reference
通勤型 >1 萬,通勤型,>=10000,12,上班族通勤族、早晚兩次、不會多停留；平日日均 1.9 萬、週末 1.5 萬（週末比 0.87）,週末出租空間給短期市集、包裹取貨櫃、共享辦公、早晚餐外帶（平日 1.9 萬人次）,需久等餐廳（時間是金錢）,南港 CITYLINK
通勤型 <1 萬,通勤型,<10000,100,上班族通勤族、早晚兩次、不會多停留；日均中位數 890 人,出租車站空間、無人便利商店（日均 890 人養不起店員）、自助咖啡機,人力成本高產業（不划算）,JR 無人站 C49
城際樞紐,城際樞紐,all,93,來回各一次、停留時間不多；週五出門週日回來；週五比 1.27 全群最高，93 站中 55 站日均不到 5 千,當地名產、叫車服務、與飯店合作運大行李（大站）、返鄉包（週五比 1.27）,只有超商的配置,鐵鹿大街
週末觀光型,週末觀光型,all,18,特別觀光景點觀光客、來回各一次、有可能腹地不大，會多停留；週末比 2.09，平日只剩週末一半,"特色小物、假日快閃攤（週末 1,719 vs 平日 566）、紀念小物、平日社區日／學校包場",長租約連鎖（平日沒人）,福隆便當
春季活動型,春季活動型,all,9,進香客／賞花團、一年 1–2 週；月振幅 5.17，白沙屯 2026/4/12 單日 12 萬,紀念車票、補給物品、攤車、寄物、賣資料給攤販（單日 12 萬人次）,高單價需講解的商品,臺鐵疏運新聞稿
寒暑假觀光型,寒暑假觀光型（集集線）,all,3,親子／學生團、寒暑假（半天到一天）；寒暑假效應 1.66、2025/2023 成長 0.25（停駛）,一日券綁各種折抵、文創、搭配活動售票；2026/6 復駛後第一年先驗證,長約連鎖,二水示範站 C16
