sta_code,name,lat,lon,f1_log_scale,f2a_weekend_ratio,f2b_friday_ratio,f4a_month_amplitude,f4b_vacation_effect,f5_growth,f6_fri_minus_sun,f4a_log,f5_log,mean_total,weekday_mean,friday_mean,weekend_mean,cluster,cluster_name,h_cluster
0900,基隆,25.13191,121.73837,4.278965521402538,1.1303444924761756,1.1806939707307496,1.0835670208742398,0.9908077723230364,1.1650677980294375,-0.0028894446098106,0.034855778503716975,0.06635119871254014,19009.27359490986,17884.146296296298,21115.703703703704,20215.24626865672,1,城際樞紐,2
0910,三坑,25.12305,121.74202,3.48556893805635,0.8684873563519937,1.054292329211831,1.084704685259701,0.9893044855691632,1.1066134409631692,-0.0094266932587175,0.03531151604694608,0.04399594086519802,3058.9257688229054,3152.2425925925927,3323.385185185185,2737.6828358208954,4,通勤型,2
0920,八堵,25.10838,121.72904,3.664881552660901,0.7925486930626903,1.0773096095671142,1.13499552600987,0.9532013364565002,1.04238650097331,-0.0280445247246319,0.05499414960574498,0.01802877857678197,4622.5493107104985,4855.057407407408,5230.4,3847.8694029850735,4,通勤型,2
0930,七堵,25.09294,121.71415,4.105914626319534,0.8080684977364683,1.0829775562088035,1.0928004116884809,0.9500874784009502,1.1110006816219076,-0.0040773040987202,0.03854084994836677,0.045714325389600644,12761.879109225874,13330.668518518518,14436.814814814816,10772.09328358209,4,通勤型,2
0940,百福,25.07795,121.69379,3.7225904825396112,0.7360659779211439,1.0461518754713677,1.1057037454395102,0.9542735433404986,1.0983322075875268,-0.0195809850390643,0.04363878071580162,0.04073371907642782,5279.471898197243,5667.118518518519,5928.666666666667,4171.373134328358,4,通勤型,2
0950,五堵,25.07799,121.66758,3.650478828782692,0.7145045698587046,1.028068386547415,1.1017005552555674,0.9582350465418332,1.132042735573808,-0.0713761265927342,0.04206356831603393,0.053862822146914166,4471.763520678685,4845.440740740741,4981.444444444444,3462.089552238806,4,通勤型,2
0960,汐止,25.06789,121.66115,4.345623787826355,0.8020705410193364,1.0459678441394595,1.108601954834756,0.9582514471206934,1.1144442887418553,-0.0173942898554502,0.04477564006304456,0.04705836290442125,22162.757158006363,23321.13333333333,24393.15555555556,18705.194029850747,4,通勤型,2
0970,汐科,25.06405,121.65237,4.378173023269514,0.4473391653697095,0.9887677032677854,1.123277134616003,0.9776980848392128,1.1358607498165894,-0.0439843979266665,0.05048691849289435,0.055325092560658234,23887.62778366914,28392.827777777777,28073.911111111112,12701.223880597016,4,通勤型,2
0980,南港,25.05348,121.60706,4.514564779837386,0.80042312410515,1.1127652648931297,1.133281131497731,0.9603131688097782,1.276291818240096,0.0215048424956643,0.05433765806558019,0.1059499851700929,32701.28207847296,34084.29074074074,37927.81481481482,27281.85447761194,4,通勤型,2
0990,松山,25.04921,121.57799,4.565355556974141,0.73241704444723,1.0688875948434768,1.0955583810285914,0.9853278802090916,1.1258831678558057,-0.0439244330978982,0.03963552555988765,0.05149332640516192,36758.311770943794,39363.58888888889,42075.251851851855,28830.56343283582,4,通勤型,2
1000,臺北,25.04771,121.51784,5.098728531316884,1.0753951511281936,1.1826662187653427,1.0865264378027866,1.0024924821736494,1.0742892727425857,-0.0650647787149369,0.03604029821491694,0.03112123912916291,125524.5090137858,119823.57037037038,141711.2888888889,128857.6865671642,1,城際樞紐,2
1010,萬華,25.03357,121.50021,4.0079614855161925,0.8929766393225147,1.0504971354017736,1.1428093281202842,0.9704730320577756,1.1748844131258214,-0.0219187839162035,0.05797377663075464,0.06999514217297324,10185.01060445387,10426.774074074074,10953.296296296296,9310.865671641792,4,通勤型,2
1020,板橋,25.01401,121.46406,4.700344958125231,1.1272993888788791,1.1840459506247325,1.179290263925566,0.968154142183136,1.0870588542142123,-0.0411242020420254,0.07162071307307115,0.03625305776480041,50158.54825026512,47206.87037037037,55895.1037037037,53216.27611940299,1,城際樞紐,2
1030,浮洲,25.00419,121.44477,3.8410910898836903,0.7981805282693003,1.04676930065052,1.327983047282902,0.8230675166419354,1.19351010855629,-0.0468243906256162,0.1231925309668763,0.07682610166001304,6935.712619300106,7305.837037037037,7647.525925925926,5831.376865671642,4,通勤型,2
1040,樹林,24.99121,121.42481,4.470251079276452,0.9845191638204804,1.1176595333461845,1.091711982663274,0.976582093022631,1.091316085051905,-0.0252322879290693,0.03810807716124147,0.03795055637399746,29529.15906680806,29166.2,32597.881481481483,28714.68283582089,4,通勤型,2
1050,南樹林,24.98044,121.40884,3.457976723467017,0.8505064646613897,1.0601851563308284,1.137618349641485,0.951578420432986,1.1588383936638869,-0.0085277004484788,0.055996588557782126,0.06402287545142213,2870.626723223754,2971.262962962963,3150.088888888889,2527.0783582089557,4,通勤型,2
1060,山佳,24.97273,121.39254,3.5420179962924294,0.9275836197851078,1.0667074640880172,1.129121390568201,0.9647204308759872,1.1010892972171846,-0.0001427900109806,0.05274063494527735,0.04182254123884409,3483.5174973488865,3522.3722222222223,3757.340740740741,3267.294776119403,4,通勤型,2
1070,鶯歌,24.95432,121.35535,4.247026242726193,0.9460215379009452,1.0955126008232297,1.1007945433085626,0.9561963040645116,1.0206541023933784,-0.0051363292578989,0.04170626807816,0.008878585501354952,17661.445387062566,17690.937037037038,19380.64444444445,16736.007462686568,4,通勤型,2
1080,桃園,24.98942,121.31384,4.746862958851693,1.1007869936947712,1.1632374277981434,1.1196560669140971,0.9797759851057004,1.039279384776329,0.0197292670334194,0.049084637687788736,0.016732312673847675,55829.39978791092,53069.13148148148,61732.0,58417.80970149254,1,城際樞紐,2
1090,內壢,24.97281,121.25826,4.296808493982891,0.887898798449572,1.113891087687261,1.1998006381972424,0.9142233317480616,1.09997816864445,-0.052713166133393,0.07910908861116032,0.041384065766102665,19806.53446447508,20119.48148148148,22410.911111111112,17864.06343283582,4,通勤型,2
1100,中壢,24.95369,121.22556,4.691123577008801,1.263811543150789,1.2067392934724015,1.1699380864760498,0.9541780280523692,1.0182724371806675,-0.0282998370391434,0.06816287934165408,0.00786398834938953,49104.75821845175,44455.91851851852,53646.7037037037,56183.90298507463,1,城際樞紐,2
1110,埔心,24.91945,121.18366,4.075838323195379,0.9195326342771382,1.1039038093959856,1.2106678832079951,0.9041167198807926,1.0503636008062218,-0.0096274928388403,0.08302502153102645,0.021339663345223095,11907.986214209968,12003.944444444443,13251.2,11038.018656716418,4,通勤型,2
1120,楊梅,24.91402,121.14641,4.017585819564446,0.9749012159813264,1.1374159518185882,1.1724592179631173,0.9323067856716823,1.1140524664694424,-0.0614954750557582,0.06909774544118795,0.046905644483673035,10413.23860021209,10284.27962962963,11697.503703703704,10026.15671641791,4,通勤型,2
1130,富岡,24.93445,121.08308,3.57880237528019,1.1962500318270453,1.1273529973372391,1.2820399858568894,0.9356788708376914,1.0800980984356112,0.0405830031443051,0.10790157071024627,0.033463201481860244,3791.424178154825,3530.17037037037,3979.748148148148,4222.966417910448,4,通勤型,2
1140,新富,24.93109,121.06751,2.9014184479910647,0.742761186725665,1.063621632790665,1.2493603883213669,0.9166360579744276,1.7939131274597386,0.0215051136445301,0.09668773227579136,0.25380140795089967,796.9268292682926,851.4166666666666,905.5851851851852,632.3992537313433,4,通勤型,3
1150,北湖,24.92201,121.05592,3.3124483922476595,0.8331977870164747,1.0457543252595154,1.2348247121548936,0.8896228635376758,1.2913017520834054,-0.0216676294380916,0.09160531229460096,0.11102774029252552,2053.2810180275715,2140.740740740741,2238.688888888889,1783.660447761194,4,通勤型,2
1160,湖口,24.90288,121.04411,3.8757614647846914,1.0350826729580669,1.1599115459972271,1.1645335050700365,0.9430652921022468,1.1311174000402258,-0.0104847420033263,0.06615198824013233,0.05350768321333738,7512.101802757158,7273.083333333333,8436.133333333333,7528.242537313433,4,通勤型,2
1170,新豐,24.86939,120.99626,4.086426793369367,1.179970068323135,1.15562848203199,1.2621484477918847,0.9350256158504032,1.156565004105225,-0.0944772403863323,0.10111043752728316,0.06317004707709521,12201.881230116647,11367.21851851852,13136.28148148148,13412.977611940298,1,城際樞紐,2
1180,竹北,24.83892,121.00936,4.089931545202358,0.8429901193407606,1.1171044383759563,1.1971263627696709,0.9130518390087262,1.189049715016446,-0.0262995720684347,0.0781399948150354,0.07520001316027047,12300.748674443266,12653.235185185184,14134.985185185184,10666.55223880597,4,通勤型,2
1190,北新竹,24.80875,120.98381,3.771407121528192,0.7118644382919107,1.1027325699210573,1.2755221853990315,0.8757564141959151,1.2666670472743258,-0.0908249509977157,0.10568801677770696,0.10266247239381715,5907.546129374337,6333.001851851852,6983.607407407408,4508.238805970149,4,通勤型,2
1191,千甲,24.80657,121.0034,2.8496916170917643,0.96128632970604,1.118023281838744,1.1418482085732566,0.9563484282094706,1.3399258466174953,-0.124366500445744,0.05760837487259773,0.12708076456186854,707.4432661717922,703.2981481481481,786.3037037037037,676.070895522388,4,通勤型,3
1192,新莊,24.78811,121.02196,3.64565883364376,0.9882133899171684,1.307410331898783,1.1141214414856129,0.964619270188094,1.1593392429365337,-0.3940383039205867,0.04693253239292879,0.06421053672062428,4422.408271474019,4249.622222222222,5556.0,4199.5335820895525,1,城際樞紐,5
1193,竹中,24.78145,121.03141,3.2615968566902787,1.1813623290691515,1.3543103978183972,1.1183893391898303,0.9715149420406984,1.3313717790277313,-0.4244883073287486,0.04859301860091219,0.1242993470107051,1826.4040296924709,1656.9537037037037,2244.0296296296297,1957.462686567164,1,城際樞紐,5
1194,六家,24.80766,121.03941,3.912956841887313,1.0854100137486284,1.3384534944857127,1.1133458105384393,0.9837701625174112,1.259980844359399,0.3183137341266843,0.046630079233485555,0.10036394253641301,8183.834570519618,7629.003703703704,10211.066666666668,8280.597014925374,1,城際樞紐,5
1201,上員,24.77776,121.05582,2.200257784763985,1.03075321260147,1.1467189615975837,1.394483362521891,0.9223494256129032,1.3552337272090555,0.0252321057027197,0.14441333709755869,0.1320142012500004,158.58342189160467,153.99814471243042,176.59259259259258,158.73408239700373,4,通勤型,3
1202,榮華,24.74839,121.08319,2.6483144715023617,1.000767775331046,1.1127589284581252,1.3199511446833878,0.9837441348217996,1.7206046924442386,0.0996929734490615,0.1205578569732176,0.23568110297702535,444.9533404029693,437.7907407407407,487.1555555555556,438.1268656716418,4,通勤型,3
1203,竹東,24.73823,121.09472,3.1013752422386918,1.304962088269512,1.1599132603305846,1.192361443746302,0.9671600338690128,1.3476068710661702,0.046194386068968,0.07640792422158711,0.12956321665942028,1262.9182590233545,1138.0927643784787,1320.088888888889,1485.1679104477612,4,通勤型,3
1204,橫山,24.72041,121.11772,2.448155169042911,1.620887917163318,1.2116963281060833,1.3783855328514916,0.93469380909281,1.9666788849906616,-0.0030536842784187,0.13937070623064365,0.29373345505851856,280.6436170212766,232.4320297951583,281.63703703703703,376.7462686567165,1,城際樞紐,3
1205,九讚頭,24.72062,121.13622,2.0090166917397934,1.243554722374967,1.1088848219392913,1.175911898380142,0.9878781702218205,1.2170576904859642,0.0852570540386074,0.07037478476677869,0.08531116497278289,102.09787234042552,94.11524163568774,104.36296296296295,117.0374531835206,4,通勤型,3
1206,合興,24.71667,121.15437,2.078493918346135,2.75091422325202,1.144589277124585,2.479865008044579,1.2745039191565204,0.7944288269869665,-0.0366490050104764,0.3944280405613058,-0.0999450052299153,119.81023454157784,78.86380597014926,90.26666666666668,216.9475655430712,2,週末觀光型,1
1207,富貴,24.71551,121.16743,2.0724592569449563,1.321837121887122,1.1441618879960955,2.796443791799013,1.1080319078735348,4.294753704445334,0.0420548030483792,0.44660609448248517,0.6329382629594942,118.15694591728526,106.2462962962963,121.56296296296296,140.4402985074627,0,春季活動型,3
1208,內灣,24.70535,121.18255,2.9647915500797284,3.036204932559991,1.3477361973444684,1.7402644983164095,1.1397085215212526,1.0107560211122764,0.0721705669268306,0.2406152605983683,0.004646337122256916,922.1287234042552,566.3104089219331,763.237037037037,1719.434456928839,2,週末觀光型,1
1210,新竹,24.80157,120.97157,4.621346683259062,1.3294263688821748,1.2859823760365063,1.143231430227592,0.9771377198188996,1.0976953476614697,-0.0605815428938805,0.05813415576434393,0.04048182354922945,41816.40402969247,36856.80370370371,47397.2,48998.40671641791,1,城際樞紐,5
